isbn	title	author	rating_count	rating_calc	rating_eb
0064402207	Amy's Eyes	Richard Kennedy, Richard Egielski (Illustrator)	437	4.331807780320366	4.304411240927392
0064402274	Dragon of the Lost Sea	Laurence Yep	1028	3.9153696498054473	3.9226808714913854
0064403114	The Fragile Flag	Jane Langton	137	3.9708029197080292	3.9977060346012934
006440398X	Dragon Cauldron	Laurence Yep	393	3.9236641221374047	3.940476867409724
0064404862	Dragon Steel	Laurence Yep	478	3.99163179916318	3.999184607062251
0064405613	The Glass Slipper	Eleanor Farjeon	210	4.014285714285714	4.025162060598977
0064407489	Magic Elizabeth	Norma Kassirer, Joe Krush (Illustrator)	558	4.32437275985663	4.303042294261579
0064408523	The Magic Paintbrush	Laurence Yep, Suling Wang (Illustrations)	159	3.5723270440251573	3.6932603105039035
0064408582	Emily of Deep Valley	Maud Hart Lovelace, Vera Neville (Illustrator)	3055	4.236988543371522	4.2342422270764635
0064408590	Carney's House Party	Maud Hart Lovelace, Vera Neville (Illustrator)	2063	4.12457586039748	4.123255517923302
0064410382	Dogsbody	Diana Wynne Jones	6206	4.079761521108605	4.079681068404298
0064410935	Charlotte's Web	E.B. White, Garth Williams (Illustrator), Rosemary Wells (Illustrations)	1364643	4.1720721097019515	4.172068287550666
0064410951	Rumpelstiltskin's Daughter	Diane Stanley, Jacob Grimm	1043	4.086289549376798	4.085524807331771
0064430103	Harry by the Sea	Gene Zion, Margaret Bloy Graham (Illustrator)	1850	4.195675675675676	4.192298028463628
0064430111	No Roses for Harry!	Gene Zion, Margaret Bloy Graham (Illustrator)	9362	4.2536851100192266	4.25268834506229
006443012X	The Plant Sitter	Gene Zion, Margaret Bloy Graham (Illustrator)	135	4.437037037037037	4.336295791144709
0064430448	Crictor	Tomi Ungerer	1804	4.093126385809312	4.092487210188682
0064430715	A Special Trade (I Can Read Series)	Sally Wittman	90	4.622222222222222	4.422315716290401
0064430766	Poinsettia and Her Family	Felicia Bond	60	4.316666666666666	4.203225048038766
0064430847	Sarah's Unicorn	Bruce Coville, Katherine Coville	270	4.2	4.179312248021756
0064430871	Chanticleer and the Fox	Geoffrey Chaucer, Barbara Cooney (Illustrator, Adaptor)	3077	3.8115047123821904	3.815721949222497
0064430960	Bread and Jam for Frances	Russell Hoban, Lillian Hoban (Illustrator)	31237	4.210167429650735	4.209938558841572
0064431126	What Do You Say, Dear?	Sesyle Joslin, Maurice Sendak (Illustrator)	2416	4.228890728476821	4.225600652406285
006443124X	The Philharmonic Gets Dressed	Karla Kuskin, Marc Simont (Illustrator)	543	4.125230202578269	4.120475269985882
0064431290	George Shrinks	William Joyce (Author)	1335	4.007490636704119	4.009789395541293
0064431436	Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business	Esphyr Slobodkina	84768	4.14711919592299	4.147072718596182
0064431479	A Tree Is Nice	Janice May Udry, Marc Simont (Illustrator)	5308	3.935380557648832	3.936662050522011
0064431592	It Looked Like Spilt Milk	Charles G. Shaw	11342	4.13948157291483	4.139169782510817
0064431835	The Little Old Lady Who Was Not Afraid of Anything	Linda Williams, Megan Lloyd (Illustrator)	16835	4.259400059400059	4.258827139100277
0064431851	Outside Over There	Maurice Sendak	3447	3.9033942558746735	3.905824340305665
0064431886	Let's Be Enemies	Janice May Udry, Maurice Sendak (Illustrator)	304	3.848684210526316	3.8804925856940624
