isbn	title	author	rating_eb	scaled_eb	scaled_norm
1101919256	Princess Puffybottom . . . and Darryl	Susin Nielsen (Author), Olivia Chin Mueller (Illustrator)	4.168536273610233	3.426364192842389	3.3134309186403104
1101932422	Tree: A Peek-Through Picture Book	Britta Teckentrup (Author) (Illustrator), Patricia Hegarty	4.135902290870776	3.3555017406376266	3.221673846928408
1101932813	Finding Wild	Megan Wagner Lloyd, Abigail Halpin (Author) (Illustrator)	4.122946361454743	3.3273688297287207	3.181140082771166
1101934417	The Perfect Dog	Kevin O'Malley	3.612817409047969	2.21965884542196	1.9926670612672979
1101934573	Imagine a City	Elise Hurst	4.015025750717106	3.09302663553928	2.8536443562923224
1101935863	The Sand Warrior	Mark Siegel (Author), Alexis Siegel, Xanthe Bouma (Illustrator), Matt Rockefeller (Illustrator), Boya Sun (Illustrator)	4.070561143168813	3.2136179260569318	3.001471543478243
1101935898	The Cobalt Prince	Mark Siegel (Author), Alexis Siegel, Xanthe Bouma (Illustrator), Matt Rockefeller (Illustrator), Boya Sun (Illustrator)	4.250234835092932	3.6037670080147444	3.5437776036629316
1101935928	The Red Maze	Mark Siegel (Author), Alexis Siegel, Xanthe Bouma (Illustrator), Matt Rockefeller (Illustrator), Boya Sun (Illustrator)	4.2414800255405005	3.584756540355187	3.516722564743866
1101936622	Rescue Squad No. 9	Mike Austin (Author)	3.562381254258968	2.1101401992713527	1.89722868363328
1101937211	Miss Paul and the President: The Creative Campaign for Women's Right to Vote	Dean Robbins	3.7873323803928987	2.5986061199448947	2.350017503501803
1101937912	This is My Book!	Mark Pett	4.097852752588357	3.2728797815136716	3.094207675439101
1101938846	Snow Sisters!	Kerri Kokias (Author), Teagan White (Author) (Illustrator)	3.9779151524602856	3.0124435201941666	2.773861656538743
1101940492	Rumble Grumble . . . Hush	Kate Banks	3.5256579601703866	2.030398088327377	1.8145547099243022
1101995815	ABC: The Alphabet from the Sky	Benedikt Groß, Joseph Lee	4.023101268262266	3.1105620672590732	2.8715040662013287
1101996218	Chimpanzees for Tea!	Jo Empson	3.6868192540993667	2.3803487694770658	2.148889192829805
1101996447	Max Explains Everything: Grocery Store Expert	Stacy McAnulty (Author), Deborah Hocking (Author) (Illustrator)	3.766487486193735	2.5533428638264306	2.3080022582553044
1101996684	Girl Running: Bobbi Gibb and the Boston Marathon	Annette Bay Pimentel (Author), Micha Archer (Illustrator)	4.225755935086532	3.550612757870725	3.4721867102481205
1101999209	Little Excavator	Anna Dewdney	4.04761282046676	3.1637872194086882	2.9357173374862784
1101999748	1 Big Salad: A Delicious Counting Book	Juana Medina	3.6445488645828483	2.2885615217878845	2.059642157211704
1105876322	The City of the Wild	Alexandra Maria Proca	4.1374803735867065	3.358928438871967	3.227913415660825
1106920414	Aki Alliance	Ryan Estrada (Author)	4.037198087078061	3.141172341142858	2.905792324560969
1112574093	The Cat and the Fiddler	Jacky Jeter, Lionel Kalish (illustrator)	4.015522794151075	3.0941059312190187	2.8549568514123047
1122497377	The Golden Christmas Book	Gertrude Crampton (Compiler)	4.084306105936707	3.2434641686983023	3.042160869324052
1242774408	Articles on Books by Beatrix Potter, Including: The Tale of Peter Rabbit, the Tale of Samuel Whiskers or the Roly-Poly Pudding, the Tale of the Flopsy Bunnies, the Tale of Squirrel Nutkin, the Tale of Mr. Jeremy Fisher	Hephaestus Books	4.13266092515898	3.348463337612654	3.209746484351318
1250016894	Oh So Brave Dragon	David Kirk	3.57588461375937	2.1394618170107655	1.918186082449318
1250026938	The 52-Storey Treehouse	Andy Griffiths, Terry Denton (Illustrator)	4.307306666898226	3.7276945710654874	3.704930883146327
1250037654	Stuck in the Middle (of Middle School): A Novel in Doodles	Karen Romano Young	3.7646256140742786	2.5492999363930946	2.3028117049834473
1250043271	Early Bird	Toni Yuly	3.8108699549186738	2.6497163464583178	2.3998367729235954
1250046424	Swim, Duck, Swim!	Susan Lurie (Author), Murray Head (Photographs)	3.9176726554629964	2.88163107544146	2.6302246680782293
1250051495	Little Bird's Bad Word	Jacob Grant (Author)	3.85037061229274	2.735489311026389	2.478167694689101
1250051509	Cat Knit	Jacob Grant (Author)	4.208303613209669	3.5127162395470175	3.422630520707761
1250054575	Night Owl	Toni Yuly	3.7215857074443353	2.4558417351428297	2.214650176492137
1250054583	Cat Nap	Toni Yuly	3.8753444704067177	2.7897183287071083	2.5352131924860286
1250056470	Duck's Vacation	Gilad Soffer, Rena Rossner (Author) (Translator), Ilana Kurshan (Translator)	3.825897518351116	2.6823476683532688	2.429911833022522
125007181X	Your Baby's First Word Will Be DADA	Jimmy Fallon, Miguel Ordóñez (Illustrations)	3.5249026100388283	2.028757897394424	1.8066175851788533
1250076366	Wolf in the Snow	Matthew Cordell	4.168593991937781	3.426489524226545	3.313599401512245
1250086566	How to Find a Fox	Nilah Magruder (Author)	4.046148374851224	3.160607276333217	2.9292152225709835
1250094062	The Jelly Bean Tree	Toni Yuly	3.7132457012634528	2.437731984515743	2.1968308315837906
1250102464	The 65-Storey Treehouse	Andy Griffiths, Terry Denton	4.336589144929723	3.7912794609794953	3.7826899672360716
1250107148	Stay: A Girl, a Dog, a Bucket List	Kate Klise (Illustrations), M. Sarah Klise (Illustrations)	4.413577312120027	3.9584539784575288	3.994515267185928
1250107237	Potato Pants!	Laurie Keller	4.005740529984342	3.072864416430467	2.8286639319984523
1250108144	Through with the Zoo	Jacob Grant (Author)	3.86371363752991	2.7644627739250103	2.5078827927024303
1250109272	My Pet Wants a Pet	Elise Broach, Eric Barclay (Author) (Illustrator)	3.946466138378817	2.9441541460461407	2.6992784865720445
1250112494	Maya Lin: Artist-Architect of Light and Lines	Jeanne Walker Harvey (Author), Dow Phumiruk (Illustrator)	4.326248674359259	3.768825839323063	3.756344225940302
1250115825	Honeysmoke: A Story of Finding Your Color	Monique Fields, Yesenia Moises (Illustrator)	4.227296101179931	3.5539571227633653	3.4764590357917338
1250120365	Bunny in the Middle	Anika Aldamuy Denise (Author), Christopher Denise (Author) (Illustrator)	4.28027800146677	3.669003680419788	3.6306477579187577
125012770X	Singing in the Rain	Arthur Freed, Nacio Herb Brown, Tim Hopgood (Illustrator)	3.9576340950468802	2.9684045969314585	2.7261085309369624
1250127734	Brave Ballerina: The Story of Janet Collins	Michelle Meadows (Author), Ebony Glenn (Author) (Illustrator)	4.182640969635927	3.456991571546461	3.3538353465171897
1250128056	Floaty	John Himmelman	3.760683605114832	2.540740134676285	2.294891302240516
1250128080	Emily Writes: Emily Dickinson and Her Poetic Beginnings	Jane Yolen (Author), Christine Davenier (Illustrations)	3.858495586753602	2.7531321350419096	2.4949326584929294
1250130751	Kit & Kaboodle	Rosemary Wells	3.217397104346232	1.3610308113744678	1.2382896624226143
1250134889	Stegothesaurus	Bridget Heos (Author), T.L. McBeth (Illustrator)	4.244285924407792	3.590849357035341	3.5248758366325794
1250140919	My Mommy Medicine	Edwidge Danticat, Shannon Wright (Illustrations)	3.9387770558562916	2.9274578314374997	2.6800581319593046
1250142733	Mixed: A Colorful Story	Arree Chung (Author)	4.366197316708266	3.8555715724964466	3.8719376735066033
1250155320	Secret Engineer: How Emily Roebling Built the Brooklyn Bridge	Rachel Dougherty	3.941108963486896	2.9325214087010814	2.6865690813597602
1250156769	The Detective Dog	Julia Donaldson, Sara Ogilvie (Illustrator)	4.2817333406817575	3.6721638495719	3.6353982253772936
1250159008	Moon River	Johnny Mercer, Henry Mancini, Tim Hopgood (Illustrator)	3.918776892956193	2.884028851318498	2.6325746837868422
1250167620	It's Not a Bed, It's a Time Machine	Mickey Rapkin, Teresa Martínez (Illustrator)	3.678677486967877	2.362669481330605	2.1321117027391256
1250184258	Where Lily Isn't	Julie Paschkis, Margaret Chodos-Irvine (Illustrations)	4.050144059331519	3.169283630757093	2.941645144687178
1250191734	Mighty Jack and Zita the Spacegirl	Ben Hatke (Author)	4.2704414042580865	3.6476441851622554	3.6034779643404806
1250205662	Flying High: The Story of Gymnastics Champion Simone Biles	Michelle Meadows (Author), Ebony Glenn (Author) (Illustrator)	4.082986764161582	3.2405993086464977	3.0386464606787036
1250206596	Cats Are a Liquid	Rebecca Donnelly (Author), Misa Saburi (Illustrator)	3.881847864371971	2.80384000204716	2.5476817946982466
1250214009	Snakes on the Job	Kathryn Dennis	3.5411222508732383	2.063977733495432	1.8522037904761706
1250228107	You're Mom: A Little Book for Mothers (And the People Who Love Them)	Liz Climo	4.370065141602195	3.863970288609973	3.886855351501831
125023221X	I Am Perfectly Designed	Karamo Brown, Jason “Rachel” Brown, Anoosha Syed (Author) (Illustrator)	4.12604854242453	3.33410500264568	3.1893600770347277
1250297427	From a Small Seed―The Story of Eliza Hamilton	Camille Andros (Author) (Illustrations), Tessa Blackham (Author) (Illustrations)	3.8261691480161204	2.6829374935152	2.4309412567644704
1250303176	Llama Destroys the World	Jonathan Stutzman (Author), Heather Fox (Author) (Illustrator)	3.984517469818124	3.026779998887122	2.7884259564559786
1250303184	Don't Feed the Coos!	Jonathan Stutzman (Author), Heather Fox (Author) (Illustrator)	4.174424128668497	3.4391492657213543	3.33044951370257
1250304407	Snakes on a Train	Kathryn Dennis	3.5588358128474646	2.102441516748496	1.8845927111908791
