Taxon,DLC_ID,Hybrid,Sex,Name,Current_Resident,StudBook,DOB,Birth_Month,Estimated_DOB,Birth_Type,Birth_Institution,Litter_Size,Expected_Gestation,Estimated_Concep,Concep_Month,Dam_ID,Dam_Name,Dam_Taxon,Dam_DOB,Dam_AgeAtConcep_y,Sire_ID,Sire_Name,Sire_Taxon,Sire_DOB,Sire_AgeAtConcep_y,DOD,AgeAtDeath_y,AgeOfLiving_y,AgeLastVerified_y,AgeMax_LiveOrDead_y,N_known_offspring
VRUB,3571,N,M,HADES,N,30,21Apr1978,4,,CB,DUKE PRIM,3,98,13Jan1978,1,524,SATURNA,VRUB,01Oct1959,18.30,3530,TELLUS,VRUB,17May1975,2.66,27Sep1988,10.44,,,10.44,3
VAR,3572,S,F,HYPERION-A,N,,23Apr1978,4,,CB,DUKE PRIM,2,98,15Jan1978,1,2563,HYPERION,VAR,27May1976,1.64,3530,TELLUS,VRUB,17May1975,2.67,23Apr1978,0.00,,,0.00,
VAR,3573,S,M,PAN,N,,23Apr1978,4,,CB,DUKE PRIM,2,98,15Jan1978,1,2563,HYPERION,VAR,27May1976,1.64,3530,TELLUS,VRUB,17May1975,2.67,,,,5.93,5.93,
EUL,3574,S,M,PIERRE,N,676,24Apr1978,4,,CB,DUKE PRIM,1,120,25Dec1977,12,1583,LILY,EUL,26May1974,3.59,1569,ANDY,EUL,18Apr1974,3.69,05Nov1978,0.53,,,0.53,
VAR,3575,S,F,THEA,N,,26Apr1978,4,,CB,DUKE PRIM,3,98,18Jan1978,1,1582,SELENE,VVV,24May1974,3.66,MULT2,,,,,,,,1.38,1.38,
VAR,3576,S,ND,Selene-C,N,,26Apr1978,4,,CB,DUKE PRIM,3,98,18Jan1978,1,1582,SELENE,VVV,24May1974,3.66,MULT2,,,,,28Apr1978,0.01,,,0.01,
VAR,3577,S,F,Selene-D,N,,26Apr1978,4,,CB,DUKE PRIM,3,98,18Jan1978,1,1582,SELENE,VVV,24May1974,3.66,MULT2,,,,,02May1978,0.02,,,0.02,
ERUF,3578,N,M,ALOE,N,677,29Apr1978,4,,CB,DUKE PRIM,1,120,30Dec1977,12,510,CALO,ERUF,01Oct1958,19.26,578,PYTHIAS,EUL,11Feb1971,6.89,16May1994,16.06,,,16.06,
EUL,3579,S,ND,PASIPA-A,N,679,30Apr1978,4,,CB,DUKE PRIM,1,120,31Dec1977,12,2510,PASIPA,EUL,31Mar1975,2.76,1575,WALT,EUL,06May1974,3.66,30Apr1978,0.00,,,0.00,
MZAZ,358,N,M,SAMBY,N,144,10Apr1987,4,,CB,DUKE PRIM,2,90,10Jan1987,1,339,PAPELIKA,MZAZ,16Jun1985,1.57,MULT2,,,,,11Aug1997,10.35,,,10.35,
VAR,3580,S,F,IO,N,,04May1978,5,,CB,DUKE PRIM,3,98,26Jan1978,1,1578,NIKE,VAR,17May1974,3.70,3530,TELLUS,VRUB,17May1975,2.70,,,,5.93,5.93,1
VAR,3581,S,F,MIRANDA,N,,04May1978,5,,CB,DUKE PRIM,3,98,26Jan1978,1,1578,NIKE,VAR,17May1974,3.70,3530,TELLUS,VRUB,17May1975,2.70,,,,14.13,14.13,10
VVV,3582,N,M,APOLLO,N,138,08May1978,5,,CB,DUKE PRIM,3,98,30Jan1978,1,569,THALIA,VVV,01Oct1965,12.34,MULT3,,,,,,,,9.46,9.46,
VAR,3583,S,F,Europa,N,,04May1978,5,,CB,DUKE PRIM,2,98,26Jan1978,1,2524,PHOEBE,VAR,19May1975,2.69,3530,TELLUS,VRUB,17May1975,2.70,20Aug1978,0.30,,,0.30,
VAR,3584,S,M,TRITON,N,,04May1978,5,,CB,DUKE PRIM,2,98,26Jan1978,1,2524,PHOEBE,VAR,19May1975,2.69,3530,TELLUS,VRUB,17May1975,2.70,,,,3.02,3.02,
