Taxon,DLC_ID,Hybrid,Sex,Name,Current_Resident,StudBook,DOB,Birth_Month,Estimated_DOB,Birth_Type,Birth_Institution,Litter_Size,Expected_Gestation,Estimated_Concep,Concep_Month,Dam_ID,Dam_Name,Dam_Taxon,Dam_DOB,Dam_AgeAtConcep_y,Sire_ID,Sire_Name,Sire_Taxon,Sire_DOB,Sire_AgeAtConcep_y,DOD,AgeAtDeath_y,AgeOfLiving_y,AgeLastVerified_y,AgeMax_LiveOrDead_y,N_known_offspring
VVV,7151,N,M,Rees,Y,3968,17May2013,5,,CB,Duke Lemur Center,2,104,02Feb2013,2,6917,Kizzy,VVV,17Apr2005,7.80,5604,Amor,VVV,15Apr1981,31.82,,,5.73,,5.73,
VVV,7152,N,M,Amor Jr.,Y,3969,17May2013,5,,CB,Duke Lemur Center,2,104,02Feb2013,2,6917,Kizzy,VVV,17Apr2005,7.80,5604,Amor,VVV,15Apr1981,31.82,,,5.73,,5.73,
ECOR,7153,N,M,Horus,N,110,20May2013,5,,CB,Duke Lemur Center,1,124,16Jan2013,1,6979,Seshat,ECOR,13Jul2010,2.52,7069,Mosi,ECOR,01Jun2010,2.63,,,,4.42,4.42,
VVV,7154,N,F,Halley,Y,3974,21May2013,5,,CB,Duke Lemur Center,2,104,06Feb2013,2,6918,Grace,VVV,06Apr1997,15.85,6950,Krok,VVV,22May2009,3.72,,,5.72,,5.72,4
VVV,7155,N,M,Herschel,Y,3975,21May2013,5,,CB,Duke Lemur Center,2,104,06Feb2013,2,6918,Grace,VVV,06Apr1997,15.85,6950,Krok,VVV,22May2009,3.72,,,5.72,,5.72,
PCOQ,7156,N,F,Almirena-A,N,274,27Feb2013,2,,CB,Saint Louis Zoological Park,,160,20Sep2012,9,6803,Almirena,PCOQ,23Dec2002,9.75,6741,CALIGULA,PCOQ,19Dec1998,13.76,27Feb2013,0.00,,,0.00,
EFLA,7157,N,M,Hemsworth,N,206,29May2013,5,,CB,Duke Lemur Center,1,124,25Jan2013,1,6657,Foster,EFLA,14Mar1996,16.88,6655,Hopkins,EFLA,11Mar1996,16.89,,,5.70,,5.70,
EMON,7158,N,M,Duggan,Y,1263,28Mar2008,3,,CB,Busch Gardens Tampa Bay,,127,22Nov2007,11,oi_63645,,,,,oi_63644,,,,,,,10.87,,10.87,4
MMUR,7159,N,F,Scuppernong,N,814,18Jun2013,6,,CB,Duke Lemur Center,2,63,16Apr2013,4,7127,Juneberry,MMUR,10Aug2012,0.68,7031,Asparagus,MMUR,30May2008,4.88,30Jun2017,4.04,,,4.04,
MMUR,7160,N,M,Filbert,N,815,18Jun2013,6,,CB,Duke Lemur Center,2,63,16Apr2013,4,7127,Juneberry,MMUR,10Aug2012,0.68,7031,Asparagus,MMUR,30May2008,4.88,22Aug2018,5.18,,,5.18,
CMED,7161,N,M,Domestic Chicken,Y,447,26Jun2013,6,,CB,Duke Lemur Center,2,62,25Apr2013,4,3641,Sandpiper,CMED,15Jul2005,7.78,3642,Thrasher,CMED,15Jul2006,6.78,,,5.62,,5.62,
CMED,7162,N,M,Wild Turkey,Y,448,26Jun2013,6,,CB,Duke Lemur Center,2,62,25Apr2013,4,3641,Sandpiper,CMED,15Jul2005,7.78,3642,Thrasher,CMED,15Jul2006,6.78,,,5.62,,5.62,
MMUR,7163,N,F,Floretta,N,816,07Aug2013,8,,CB,Duke Lemur Center,2,63,05Jun2013,6,7049,Sweet Annie,MMUR,09Jun2011,1.99,7033,Poblano,MMUR,06Jun2008,5.00,,,5.50,,5.50,1
MMUR,7164,N,F,Agnus,Y,817,07Aug2013,8,,CB,Duke Lemur Center,2,63,05Jun2013,6,7049,Sweet Annie,MMUR,09Jun2011,1.99,7033,Poblano,MMUR,06Jun2008,5.00,,,5.50,,5.50,
CMED,7165,N,M,Francolin,Y,449,27Aug2013,8,,CB,Duke Lemur Center,1,62,26Jun2013,6,3636,Towhee,CMED,15Jul2001,11.96,3639,Osprey,CMED,15Jul2004,8.95,,,5.45,,5.45,1
MMUR,7166,N,M,Prickly Pear,Y,818,31Aug2013,8,,CB,Duke Lemur Center,1,63,29Jun2013,6,7034,Pimento,MMUR,16Jun2008,5.04,7038,Hurtleberry,MMUR,10Jun2010,3.05,,,5.44,,5.44,
PCOQ,7167,N,M,Andri,N,275,16Nov2013,11,,CB,Cincinnati Zoo & Botanical Garden,,160,09Jun2013,6,6961,Wilhelmina,PCOQ,25Dec2009,3.46,6841,Rinaldo,PCOQ,02Aug2004,8.86,,,5.23,,5.23,
PCOQ,7168,N,M,Gulliver,N,276,13Dec2013,12,,CB,"Houston Zoo, Inc.",,160,06Jul2013,7,6777,ZENOBIA,PCOQ,11Mar2001,12.33,6901,Gaius Galerus,PCOQ,03Jan2008,5.51,,,5.15,,5.15,
PCOQ,7169,N,M,Agrippina-B,N,277,05Jan2014,1,,CB,Sacramento Zoo,,160,29Jul2013,7,6885,Agrippina,PCOQ,07Feb2007,6.48,6819,Luther,PCOQ,29Aug2003,9.92,06Apr2014,0.25,,,0.25,
PCOQ,7170,N,F,Gertrude,Y,278,05Jan2014,1,,CB,Duke Lemur Center,1,160,29Jul2013,7,6743,Pia,PCOQ,15Feb1999,14.46,6583,Jovian,PCOQ,10Apr1994,19.32,,,5.09,,5.09,
PCOQ,7171,N,F,Eleanor of Portugal,N,279,05Jan2014,1,,CB,Duke Lemur Center,1,160,29Jul2013,7,6897,Rodelinda,PCOQ,06Aug2007,5.98,6827,Marcus Aurelius,PCOQ,16Feb2004,9.45,,,5.09,,5.09,
PCOQ,7172,N,F,Kapika,N,280,21Jan2014,1,,CB,Saint Louis Zoological Park,,160,14Aug2013,8,6803,Almirena,PCOQ,23Dec2002,10.65,6741,CALIGULA,PCOQ,19Dec1998,14.66,,,5.05,,5.05,
PCOQ,7173,N,M,Pompeia Plotina-A,N,281,27Jan2014,1,,CB,Duke Lemur Center,1,160,20Aug2013,8,6922,Pompeia Plotina,PCOQ,04Feb2009,4.54,6882,Charlemagne,PCOQ,02Jan2007,6.64,27Jan2014,0.00,,,0.00,
PCOQ,7174,N,F,Aemilia,Y,282,02Feb2014,2,,CB,Duke Lemur Center,1,160,26Aug2013,8,6538,Drusilla,PCOQ,06Apr1993,20.40,6518,Julian,PCOQ,04Mar1993,20.49,,,5.01,,5.01,
PCOQ,7175,N,M,Nelson,N,283,20Jan2014,1,,CB,Los Angeles Zoo & Botanical Gardens,,160,13Aug2013,8,6873,Eros,PCOQ,14Feb2006,7.50,6860,Bertarido,PCOQ,13Apr2005,8.34,,,5.05,,5.05,1
LCAT,7176,N,F,LuLu,Y,3990,19Mar2014,3,,CB,Duke Lemur Center,2,138,01Nov2013,11,6863,Sprite,LCAT,17Mar2001,12.64,6955,Randy,LCAT,12Mar2006,7.65,,,4.89,,4.89,
LCAT,7177,N,F,Willow,N,3991,19Mar2014,3,,CB,Duke Lemur Center,2,138,01Nov2013,11,6863,Sprite,LCAT,17Mar2001,12.64,6955,Randy,LCAT,12Mar2006,7.65,,,,4.57,4.57,
EFLA,7178,N,M,Bacon,N,207,25Mar2014,3,,CB,Duke Lemur Center,1,124,21Nov2013,11,6993,West,EFLA,24Apr2011,2.58,6776,Quinn,EFLA,09Mar2001,12.71,23Jul2014,0.33,,,0.33,
PCOQ,7179,N,F,Leopolda,N,284,22Mar2014,3,,CB,Maryland Zoo in Baltimore,,160,13Oct2013,10,6828,Anastasia,PCOQ,18Feb2004,9.66,6797,Gratian,PCOQ,14Apr2002,11.51,,,4.88,,4.88,1
EFLA,7180,N,F,Wiig,Y,208,04Apr2014,4,,CB,Duke Lemur Center,1,124,01Dec2013,12,6970,Margret,EFLA,21Mar2010,3.70,6754,Tarantino,EFLA,23Apr1999,14.62,,,4.85,,4.85,4
EMON,7181,N,M,Oscar,Y,1282,12Apr2014,4,,CB,Duke Lemur Center,1,127,06Dec2013,12,6972,Carolina,EMON,03Apr2010,3.68,7158,Duggan,EMON,28Mar2008,5.70,,,4.82,,4.82,
EMON,7182,N,M,Mico,Y,1283,03May2014,5,,CB,Duke Lemur Center,1,127,27Dec2013,12,6907,Maddie,EMON,02Jun2006,7.58,6717,Paco,EMON,26Jun1997,16.52,,,4.77,,4.77,
ECOR,7183,N,M,Anhotep,Y,112,14May2014,5,,CB,Duke Lemur Center,1,124,10Jan2014,1,6979,Seshat,ECOR,13Jul2010,3.50,7069,Mosi,ECOR,01Jun2010,3.61,,,4.74,,4.74,
MMUR,7184,N,F,Mushmelon,Y,819,18Jun2014,6,,CB,Duke Lemur Center,3,63,16Apr2014,4,7052,Snapdragon,MMUR,03Jul2011,2.79,7098,Pipkin,MMUR,05Jun2012,1.86,,,4.64,,4.64,
MMUR,7185,N,M,Gumbo,N,820,18Jun2014,6,,CB,Duke Lemur Center,3,63,16Apr2014,4,7052,Snapdragon,MMUR,03Jul2011,2.79,7098,Pipkin,MMUR,05Jun2012,1.86,,,4.64,,4.64,
MMUR,7186,N,M,Pistachio,N,821,18Jun2014,6,,CB,Duke Lemur Center,3,63,16Apr2014,4,7052,Snapdragon,MMUR,03Jul2011,2.79,7098,Pipkin,MMUR,05Jun2012,1.86,,,4.64,,4.64,
MMUR,7187,N,F,Sriracha,Y,822,18Jun2014,6,,CB,Duke Lemur Center,2,63,16Apr2014,4,7064,Tzatziki,MMUR,15Aug2011,2.67,7033,Poblano,MMUR,06Jun2008,5.86,,,4.64,,4.64,3
MMUR,7188,N,F,Jicama,Y,823,18Jun2014,6,,CB,Duke Lemur Center,2,63,16Apr2014,4,7064,Tzatziki,MMUR,15Aug2011,2.67,7033,Poblano,MMUR,06Jun2008,5.86,,,4.64,,4.64,1
ECOR,7189,N,M,Zuberi,Y,114,16Jul2014,7,,CB,Duke Lemur Center,1,124,14Mar2014,3,6800,Tasherit,ECOR,15Apr2002,11.92,6639,Seker,ECOR,03May1995,18.88,,,4.56,,4.56,2
CMED,7190,N,F,Kiwi Bird,Y,450,07Aug2014,8,,CB,Duke Lemur Center,2,62,06Jun2014,6,3641,Sandpiper,CMED,15Jul2005,8.90,3642,Thrasher,CMED,15Jul2006,7.90,,,4.50,,4.50,
CMED,7191,N,M,Kookaburra,Y,451,07Aug2014,8,,CB,Duke Lemur Center,2,62,06Jun2014,6,3641,Sandpiper,CMED,15Jul2005,8.90,3642,Thrasher,CMED,15Jul2006,7.90,,,4.50,,4.50,
MMUR,7192,N,M,Wandering Willie,Y,824,07Aug2014,8,,CB,Duke Lemur Center,1,63,05Jun2014,6,7026,Mrs Dash,MMUR,26Jun2006,7.95,7027,Wormwood,MMUR,26May2007,7.03,,,4.50,,4.50,4
CMED,7193,N,F,Ibis-A,N,456,28Aug2014,8,,CB,Duke Lemur Center,1,62,27Jun2014,6,3638,Ibis,CMED,15Jul2002,11.96,3637,Tanager,CMED,15Jul2001,12.96,29Aug2014,0.00,,,0.00,
VVV,7194,N,M,Ravo,Y,2341,05Jun2003,6,,CB,Philadelphia Zoo,,104,21Feb2003,2,oi_103260,,,,,oi_103259,,,,,,,15.68,,15.68,4
PCOQ,7195,N,M,Wilhelmina-A,N,285,02Nov2014,11,,CB,Cincinnati Zoo & Botanical Garden,,160,26May2014,5,6961,Wilhelmina,PCOQ,25Dec2009,4.42,6841,Rinaldo,PCOQ,02Aug2004,9.82,01Dec2014,0.08,,,0.08,
PCOQ,7196,N,ND,Zenobia-A,N,286,29Nov2014,11,,CB,"Houston Zoo, Inc.",,160,22Jun2014,6,6777,ZENOBIA,PCOQ,11Mar2001,13.29,6901,Gaius Galerus,PCOQ,03Jan2008,6.47,29Nov2014,0.00,,,0.00,
PCOQ,7197,N,M,Conner,N,287,18Dec2014,12,,CB,Los Angeles Zoo & Botanical Gardens,,160,11Jul2014,7,6873,Eros,PCOQ,14Feb2006,8.41,6860,Bertarido,PCOQ,13Apr2005,9.25,06Nov2015,0.88,,,0.88,
PCOQ,7198,N,F,Agrippina-C,N,288,30Dec2014,12,,CB,Sacramento Zoo,,160,23Jul2014,7,6885,Agrippina,PCOQ,07Feb2007,7.46,6819,Luther,PCOQ,29Aug2003,10.91,18Feb2015,0.14,,,0.14,
PCOQ,7199,N,F,Lupicina,Y,289,08Jan2015,1,,CB,Duke Lemur Center,1,160,01Aug2014,8,6985,Euphemia,PCOQ,15Feb2011,3.46,6843,Lucius Verus,PCOQ,07Jan2005,9.57,,,4.08,,4.08,1
