Latin_Abbreviation,S_N_All_Historic,S_N_M_Historic,S_N_F_Historic,S_N_ND_Historic,S_N_All_CaptiveBorn,S_N_M_CaptiveBorn,S_N_F_CaptiveBorn,S_N_All_WildBorn,S_N_M_WildBorn,S_N_F_WildBorn,S_N_All_CurrentResident,S_N_M_CurrentResident,S_N_F_CurrentResident,S_N_All_DLCBorn_Infant,S_N_M_DLCBorn_Infant,S_N_F_DLCBorn_Infant,S_N_ND_DLCBorn_Infant,R_Ratio_MtoF_DLCBirths,S_N_All_DLCBorn_Litter,R_Mean_LitterSize,R_MostCommon_LitterSize,R_Freq_MostCommon_LitterSize,R_Min_LitterSize,R_Max_LitterSize,R_Expected_Gestation_d,R_Range_Gestation_d,R_Pattern_Breeding,R_Peak_Breeding_Month,R_Peak_Breeding_Season,R_Peak_Birth_Month,R_Peak_Birth_Season,R_Min_Dam_AgeAtConcep_y,R_Min_Sire_AgeAtConcep_y,R_Max_Dam_AgeAtConcep_y,R_Max_Sire_AgeAtConcep_y,R_Active_DLCBreeding,S_N_All_AdultsWeighed,M_Mean_All_AdultWeight_g,M_Min_All_AdultWeight_g,M_Max_All_AdultWeight_g,S_N_M_AdultsWeighed,M_Mean_M_AdultWeight_g,M_Min_M_AdultWeight_g,M_Max_M_AdultWeight_g,S_N_F_AdultsWeighed,M_Mean_F_AdultWeight_g,M_Min_F_AdultWeight_g,M_Max_F_AdultWeight_g,S_N_All_NeonatesWeighed,M_Mean_All_NeonateWeight_g,M_Min_All_NeonateWeight_g,M_Max_All_NeonateWeight_g,S_N_M_NeonatesWeighed,M_Mean_M_NeonateWeight_g,M_Min_M_NeonateWeight_g,M_Max_M_NeonateWeight_g,S_N_F_NeonatesWeighed,M_Mean_F_NeonateWeight_g,M_Min_F_NeonateWeight_g,M_Max_F_NeonateWeight_g,S_N_All_YngAdltsWeighed,M_Mean_All_YngAdultWeight_g,M_Min_All_YngAdultWeight_g,M_Max_All_YngAdultWeight_g,S_N_M_YngAdultsWeighed,M_Mean_M_YngAdultWeight_g,M_Min_M_YngAdultWeight_g,M_Max_M_YngAdultWeight_g,S_N_F_YngAdultsWeighed,M_Mean_F_YngAdultWeight_g,M_Min_F_YngAdultWeight_g,M_Max_F_YngAdultWeight_g,L_Max_All_Age_y,L_Max_M_Age_y,L_Max_F_Age_y,L_Median_All_Longevity_gt30d_y,L_Median_M_Longevity_gt30d_y,L_Median_F_Longevity_gt30d_y,S_N_All_Survival_gt30d,S_N_M_Survival_gt30d,S_N_F_Survival_gt30d,L_Pct_All_InfMort_lt30d,L_Pct_M_InfMort_lt30d,L_Pct_F_InfMort_lt30d,L_Pct_ND_InfMort_lt30d,S_N_All_InfMort_lt30d,S_N_M_InfMort_lt30d,S_N_F_InfMort_lt30d,S_N_ND_InfMort_lt30d,O_NocturnalOrDiurnal,O_N_All_Biosample_Individuals
HGG,62,27,35,,48,22,26,14,5,9,2,1,1,46,20,26,,0.769230769,42,1.095238095,1,0.904761905,1,2,145,145-150,S,12,11.12, 5,4.5.6,1.528767123,3.698630137,16.97534247,15.97534247,N,30,1015.549929,794.0835422,1299.090909,14,1046.859588,910.9885057,1299.090909,16,988.1539766,794.0835422,1292.868056,11,46.25454545,36,57,6,44.3,36,50,5,48.6,36,57,26,1009.712988,697,1237.5,9,1005.789242,697,1156.333333,17,1011.790266,836,1237.5,23.77260274,23.03013699,23.77260274,10.45331983,10.11813342,11.23833005,47,20,27,0.326086957,0.35,0.307692308,,15,7,8,,D,35
LCAT,337,156,163,18,333,154,161,2,1,1,33,11,22,304,135,151,18,0.894039735,232,1.310344828,1,0.698275862,1,3,138,130-142,S,11,10.11, 3,3.4,1.315068493,1.638356164,21.67945205,29.51232877,Y,134,2448.906065,1888.763889,3028,70,2540.556792,2092.681818,3028,64,2348.663083,1888.763889,3015.823171,62,63.66532258,34.5,101,24,64.80208333,34.5,101,37,62.97297297,40,89,119,2099.14084,1483,2653,52,2119.807704,1600,2611,67,2083.100887,1483,2653,32.72876712,32.72876712,30.82739726,17.5831281,17.99835213,16.87054208,277,134,143,0.197368421,0.162962963,0.132450331,1,60,22,20,18,D,141
LTAR,61,26,27,8,54,23,23,7,3,4,,,,50,20,22,8,0.909090909,49,1.020408163,1,0.979591837,1,2,167,150-169,NS, 0,0, 0,0,0.994520548,1.038356164,13.37808219,11.63561644,N,29,184.9104366,152,219.6494253,14,185.7069079,152,219.6494253,15,184.1670635,159.5718519,219,6,11.53333333,8,14.5,2,12.25,10,14.5,4,11.175,8,14,24,173.7096065,146.5,219.8333333,14,180.7595238,160.3333333,219.8333333,10,163.8397222,146.5,181.3333333,21.53972603,21.53972603,18.64109589,13.38154992,13.93679182,12.34905591,44,23,21,0.34,0.15,0.272727273,1,17,3,6,8,N,20
MMUR,293,149,129,15,276,145,116,17,4,13,44,24,20,240,122,103,15,1.184466019,105,2.285714286,3,0.39047619,1,4,63,60-64,S, 4,4.5.6, 6,6.7.8,0.589041096,0.589041096,13.30684932,9.460273973,Y,172,82.61365737,56.5,116.375,94,80.50423657,56.5,116.375,78,85.15577988,57,115,8,6.9625,5.4,10,6,6.716666667,5.5,9,2,7.7,5.4,10,74,67.88318694,51.85238095,95,42,67.20231954,51.85238095,88,32,68.7768254,54.64285714,95,17.96438356,17.96438356,15.93972603,8.826429451,8.808149068,8.624297902,253,132,121,0.158333333,0.12295082,0.077669903,1,38,15,8,15,N,81
MZAZ,110,45,52,13,104,42,49,6,3,3,,,,93,36,44,13,0.818181818,59,1.576271186,2,0.576271186,1,2,90,89-90,NS, 0,0, 0,0,0.821917808,1.408219178,12.83835616,13.70136986,N,65,302.4202918,250.6794118,357.8770833,32,298.309316,250.6794118,345.5,33,306.4066925,261.7291667,357.8770833,6,15.88333333,13.5,19.9,2,15.1,13.7,16.5,4,16.275,13.5,19.9,25,288.5283238,247,340,14,284.737619,247,326.65,11,293.3528571,248,340,19.97260274,18.05753425,19.97260274,12.99723825,12.70315119,12.45868497,77,38,39,0.35483871,0.194444444,0.295454545,1,33,7,13,13,N,29
NCOU,85,40,44,1,59,30,28,17,8,9,1,,1,43,19,23,1,0.826086957,43,1,1,1,1,1,193,185-197,NS, 0,0, 0,0,1.334246575,1.276712329,8.164383562,14.85753425,N,51,1159.882188,807.6666667,1506.066667,27,1144.393927,807.6666667,1506.066667,24,1177.306482,846.8583333,1489.833333,16,51.175,40,65,7,50.64285714,40,62.5,9,51.58888889,41,65,28,1128.455998,858.5714286,1500.5,14,1151.70034,858.5714286,1500.5,14,1105.211656,895.4285714,1355.333333,24.03835616,22.17534247,24.03835616,11.26020546,12.00433405,11.00993229,78,37,41,0.139534884,0.105263158,0.130434783,1,6,2,3,1,N,25
NPYG,53,25,25,3,42,20,19,11,5,6,1,,1,33,17,13,3,1.307692308,19,1.736842105,2,0.631578947,1,3,185,183-198,NS, 0,0, 0,0,1.873972603,3.739726027,11.35342466,11.55616438,Y,23,499.5283788,357.2022436,631.9753086,11,518.9491857,405.5581761,630.6363636,12,481.7259724,357.2022436,631.9753086,22,24.28333333,10.98333333,32.25,14,24.29285714,16.5,30.5,7,24.66190476,10.98333333,32.25,27,506.5263566,350.521875,683.5185185,16,501.8921492,350.6851852,619.2727273,11,513.2670219,350.521875,683.5185185,19.89315068,15.51232877,19.89315068,11.1213415,10.28039855,12.46619392,40,20,20,0.393939394,0.294117647,0.384615385,1,13,5,5,3,N,27
OGG,339,167,142,30,293,145,118,17,9,8,,,,234,117,87,30,1.344827586,210,1.104761905,1,0.895238095,1,2,129,126-134,NS, 0,0, 0,0,0.591780822,0.75890411,14.64657534,10.83835616,N,66,1059.211256,729,1335,34,1137.079269,908.6666667,1304.125,32,976.4764923,729,1335,19,48.58947368,40,56.5,12,48.94166667,41.4,56.5,7,47.98571429,40,55.5,31,867.1568817,674,1087.966667,18,919.175,736,1087.966667,13,795.1317949,674,948.8666667,20.00547945,20.00547945,18.90684932,12.73030484,12.64461766,12.34750969,262,134,128,0.329059829,0.282051282,0.16091954,1,77,33,14,30,N,29
PCOQ,213,113,90,10,197,106,81,16,7,9,31,13,18,125,63,58,4,1.086206897,125,1,1,1,1,1,160,155-168,S, 8,7.8.9, 1,1.2.12,2.635616438,2.597260274,22.35890411,29.75616438,Y,58,4028.746725,3003.166667,5444.614286,31,3892.49495,3233.027778,4751.307692,27,4185.183948,3003.166667,5444.614286,70,105.6354762,73,131.5,31,106.0370968,73,124,39,105.3162393,83,131.5,72,3925.493762,3141.140351,4704.290123,34,3799.684029,3141.140351,4645,38,4038.060366,3315,4704.290123,30.5890411,30.5890411,25.85479452,9.968455467,9.578435394,10.13835706,161,86,75,0.24,0.26984127,0.155172414,1,30,17,9,4,D,122
PPOT,33,14,13,6,20,9,5,10,4,6,,,,16,8,2,6,4,16,1,1,1,1,1,170,170-172,NS, 0,0, 0,0,2.156164384,3.153424658,17.63287671,13.63013699,N,13,917.8177565,761.9042735,1139.5,8,943.9883247,768.7361111,1139.5,5,875.9448474,761.9042735,1118,4,32.45,21.2,43.6,4,32.45,21.2,43.6,,,,,6,854.0880952,733.4583333,1039,5,867.5057143,733.4583333,1039,1,787,787,787,32.35342466,30.00273973,32.35342466,15.0854165,14.49347939,13.04732686,22,10,12,0.6875,0.5,0.5,1,11,4,1,6,N,8
VAR,53,20,32,1,53,20,32,,,,,,,52,20,31,1,0.64516129,26,2,2,0.461538462,1,3,98,98-102,S, 1,1.2.12, 4,4.5,1.638356164,,6.726027397,,N,6,3336.208333,2815,3913,2,3364,2815,3913,4,3322.3125,3154.25,3529,6,105.6666667,74,139,1,93,93,93,5,108.2,74,139,9,3346.555556,2746,3609,1,3562,3562,3562,8,3319.625,2746,3609,34.92876712,16.67123288,34.92876712,8.33066742,8.982347078,8.324852515,41,16,25,0.230769231,0.2,0.225806452,1,12,4,7,1,D,1
VRUB,185,89,90,6,175,84,85,9,4,5,13,7,6,141,67,69,5,0.971014493,64,2.203125,3,0.375,1,4,103,98-107,S, 1,1, 4,4.5,1.654794521,1.77260274,24.24931507,33.35616438,Y,82,3633.48662,2710.5,4301.25,36,3621.166366,3128.5,4220,46,3643.128558,2710.5,4301.25,34,110.8970588,68,155.5,16,111.4375,82,155.5,18,110.4166667,68,135.5,85,3448.020015,2623.90625,4190.5,40,3471.040268,2765,4190.5,45,3427.557569,2623.90625,4050,37.54246575,34.37260274,37.54246575,21.36428164,21.04294946,20.97040145,162,77,85,0.156028369,0.179104478,0.072463768,1,22,12,5,5,D,64
VVV,195,103,84,8,186,100,78,9,3,6,10,5,5,159,84,67,8,1.253731343,83,1.915662651,2,0.445783133,1,4,104,98-107,S, 1,1.2.12, 4,4.5,1.594520548,2.663013699,23.39726027,31.82465753,Y,55,3509.232783,2903.25,4209.674797,31,3473.620249,2903.25,4129.291667,24,3555.232306,2935.333333,4209.674797,26,106.6269231,68,137,20,104.54,68,129.5,6,113.5833333,88,137,53,3166.745693,2459.5,3726.25,36,3175.683474,2459.5,3726.25,17,3147.818627,2569,3580.5,39.38630137,39.38630137,35.75890411,15.43648215,16.08345337,14.97655268,153,87,64,0.264150943,0.19047619,0.298507463,0.75,42,16,20,6,D,47
