Series ID,Year,Period,Label,Value
CUSR0000SA0L1E,1985,M01,1985 Jan,107.1
CUSR0000SA0L1E,1985,M02,1985 Feb,107.7
CUSR0000SA0L1E,1985,M03,1985 Mar,108.1
CUSR0000SA0L1E,1985,M04,1985 Apr,108.4
CUSR0000SA0L1E,1985,M05,1985 May,108.8
CUSR0000SA0L1E,1985,M06,1985 Jun,109.1
CUSR0000SA0L1E,1985,M07,1985 Jul,109.4
CUSR0000SA0L1E,1985,M08,1985 Aug,109.8
CUSR0000SA0L1E,1985,M09,1985 Sep,110.0
CUSR0000SA0L1E,1985,M10,1985 Oct,110.5
CUSR0000SA0L1E,1985,M11,1985 Nov,111.1
CUSR0000SA0L1E,1985,M12,1985 Dec,111.4
CUSR0000SA0L1E,1986,M01,1986 Jan,111.9
CUSR0000SA0L1E,1986,M02,1986 Feb,112.2
CUSR0000SA0L1E,1986,M03,1986 Mar,112.5
CUSR0000SA0L1E,1986,M04,1986 Apr,112.9
CUSR0000SA0L1E,1986,M05,1986 May,113.1
CUSR0000SA0L1E,1986,M06,1986 Jun,113.4
CUSR0000SA0L1E,1986,M07,1986 Jul,113.8
CUSR0000SA0L1E,1986,M08,1986 Aug,114.2
CUSR0000SA0L1E,1986,M09,1986 Sep,114.6
CUSR0000SA0L1E,1986,M10,1986 Oct,115.0
CUSR0000SA0L1E,1986,M11,1986 Nov,115.3
CUSR0000SA0L1E,1986,M12,1986 Dec,115.6
CUSR0000SA0L1E,1987,M01,1987 Jan,115.9
CUSR0000SA0L1E,1987,M02,1987 Feb,116.2
CUSR0000SA0L1E,1987,M03,1987 Mar,116.6
CUSR0000SA0L1E,1987,M04,1987 Apr,117.3
CUSR0000SA0L1E,1987,M05,1987 May,117.7
CUSR0000SA0L1E,1987,M06,1987 Jun,117.9
CUSR0000SA0L1E,1987,M07,1987 Jul,118.3
CUSR0000SA0L1E,1987,M08,1987 Aug,118.7
CUSR0000SA0L1E,1987,M09,1987 Sep,119.2
CUSR0000SA0L1E,1987,M10,1987 Oct,119.8
CUSR0000SA0L1E,1987,M11,1987 Nov,120.1
CUSR0000SA0L1E,1987,M12,1987 Dec,120.4
CUSR0000SA0L1E,1988,M01,1988 Jan,120.9
CUSR0000SA0L1E,1988,M02,1988 Feb,121.2
CUSR0000SA0L1E,1988,M03,1988 Mar,121.7
CUSR0000SA0L1E,1988,M04,1988 Apr,122.3
CUSR0000SA0L1E,1988,M05,1988 May,122.7
CUSR0000SA0L1E,1988,M06,1988 Jun,123.2
CUSR0000SA0L1E,1988,M07,1988 Jul,123.6
CUSR0000SA0L1E,1988,M08,1988 Aug,124.0
CUSR0000SA0L1E,1988,M09,1988 Sep,124.7
CUSR0000SA0L1E,1988,M10,1988 Oct,125.2
CUSR0000SA0L1E,1988,M11,1988 Nov,125.6
CUSR0000SA0L1E,1988,M12,1988 Dec,126.0
CUSR0000SA0L1E,1989,M01,1989 Jan,126.5
CUSR0000SA0L1E,1989,M02,1989 Feb,126.9
CUSR0000SA0L1E,1989,M03,1989 Mar,127.4
CUSR0000SA0L1E,1989,M04,1989 Apr,127.8
