character_id	description
32	"所属：青森県弘前市観光政策課

青森県弘前市のマスコットキャラクター、たか丸くんです!!普段は弘前城天守をかぶっているけど、現在石垣修理の工事をしているから、ぼくもヘルメットをかぶって工事に協力しているよ!!弘前城天守は移動したので見ることができるよ!!"
33	所属：能登野菜応援プロジェクト
34	"所属：和倉温泉観光協会

和倉温泉を発見したとされるシラサギが生んだ和倉温泉をこよなく愛するキャラクター。オレンジ色のバッグにはお友達の温泉たまごが3つ入っています。「ワクワク、ランラン、ゆっくり過ごそ。」が合言葉です。"
35	"所属：十日町市　観光交流課

僕は「第４５回十日町雪まつり」を記念して生まれた、十日町雪まつりのキャラクターのネージュだよ。生みの親は「ZUCCa」ブランドで有名な小野塚秋良（おのづかあきら）さん。ネージュはフランス語で「雪」って意味で僕は雪の妖精なんだ。十日町市内のイベントＰＲなど季節を問わず活動しているよ。"
36	"所属：株式会社坂井商店 

もち-うさぎは新潟県内のとあるお餅屋さんで生まれた桜餅のうさぎです。今年16歳になりました。中にはこしあんとやさしさがいっぱい詰まっています。住んでいる弥彦村の公認キャラとして観光PRをがんばっています。"
37	"所属：浜松市

拙者は、浜松で過ごした１７年間を足掛かりに出世した「天下の大将軍 徳川家康公」の生まれ変わりと言われているのじゃ。拙者のうなぎのちょんまげには家康公の出世パワーが宿っておる。今年はホームで大出世じゃ！"
38	"所属：ビバシティ専門店街

ビバシティ専門店街に出没し、コスプレ好きという一面をもつビーバー。パパやママ、妹のチェビーと仲良く暮らしているそう。陽気な性格でいたずら好きなため、たまにママに怒られることもあるとか。周囲からたまに、たぬきやモグラと間違われるのがたまにキズ。"
39	"所属：奈良県大和高田市

「未来」を「みく」とよんで名付けられたみくちゃんの名前には、”大和高田市が未来へはばたきますように”という願いがこめられているよ♪現在「未来へはばたき大使」として活動中♪応援よろみく♪"
40	"所属：埼玉県

埼玉県のマスコット「コバトン」は、県民の鳥「シラコバト」をモチーフに県内高校生のデザインから２０００年に誕生。以来どこに行っても大人気。埼玉県出身の宇宙飛行士若田光一さんと宇宙へも行きました。"
41	"所属：アロハガス株式会社

アロ～ハ！アロハガスをPRするためハワイからやってきたよ。サングラスにぷっくりピンク色の唇がチャームポイント！スパム大好き！ヤシの木大好き！みんなの笑顔大好き！僕を見かけたらハングルーズしてみてね。"
42	"所属：千葉ショッピングセンターC-one

いたずら好きで、女性好きで、食いしん坊。ある日突然、C-oneむらに落ちてきた記憶喪失のワンちゃんです。「ボクのスター性を世界に知らしめて、全国区のキャラになりたいワン★応援よろしくわんだふぉー★」"
43	所属：美浜町観光協会
44	所属：コアックマプロジェクト
45	"所属：新座市役所観光推進課

ゾウのようですが、体の模様がキリンに似ている不思議な生き物です。「雑木林とせせらぎのあるまち新座」の雑木林を“ゾウキリン”と読み間違えてやってきて、居心地の良さにそのまま住みついてしまったそうです。"
46	"所属：丹波市

　2006年に丹波市で恐竜化石が発見され、生まれたのが丹波竜のちーたんなんだ。　体のしましま地層模様に化石のアップリケをつけているんだよ。　ちーたんのお尻のハートマークにタッチすると、きっといい事があ・る・よ！"
47	"所属：仙台・宮城観光キャンペーン推進協議会

仙台・宮城の美味しいお米でふっくら炊き上げた『おむすび』顔に伊達政宗公の兜飾りが特徴の、仙台・宮城観光ＰＲキャラクターですよ。宮城のオススメ観光情報やボクのお仕事の様子はＳＮＳで発信しています！"
48	"所属：亀岡市観光戦略課

京都亀岡の魅力をたくさんのお友だちに知ってもらうため日々がんばっています。フェイスブックも毎日更新中！「いいね！」よろしくお願いします！"
49	所属：唐津市
50	"所属：旭川市

『旭川をハッピーに』彼の名前はあさっぴー。彼は元々ゴマフアザラシ。ヒーローになる事を願ったある日，ホッキョクグマの力と旭川の名物を身にまとい今の姿に。狙うは１位だ！ゆけ！あさっぴー！！"
51	所属：株式会社アイ・シー・シー
52	"所属：潮来市

潮来（いたこ）市の「水郷潮来あやめ園」に住むあやめの花の妖精で、実はお姫様。立派な女王様になるため、潮来のいいとこを探して、お供のよしきりと日々修行中！将来の夢は「嫁入り舟」でお嫁に行くことっ♪"
53	"所属：君津市

千葉県君津市のマスコットキャラクター｢きみぴょん｣だよっ！お耳は市の花ミツバツツジになってるの！楽しいことは何でも気になるからいろんなところに遊びに行っちゃうよっ♪ツイッターでも情報発信中！"
54	"所属：川西市

「きんたくん」は、源氏発祥の地、兵庫県川西市に、坂田金時（幼名・金太郎）という武将の墓があることから、誕生しました。３歳の元気いっぱいの男の子で、川西で採れるいちじくや桃が大好きです。"
55	所属：
56	所属：羽生市キャラクター推進室
57	"所属：鴬宿温泉観光協会

岩手県雫石町・鶯宿温泉に住んでいるオスのうぐいす”ケキョきち”です。やんごとなき事情で留年してしまいました。今年も小学4年生でがんばるぞ～！。"
58	"所属：京都府

京都府の公式キャラクター「まゆまろ」です。こう見えて公務員。推定年齢はなんと２０００歳！おっちょこちょいでのんびり屋。でも努力家なので一生懸命何事にも挑戦します！"
59	"所属：ゆる玉応援団よしみんサポート委員会

フレッシュでラッキーないちごの妖精です。古代ロマンの吉見百穴と特産品の苺とあぶら味噌が大好きです。幻想的なひかりごけと苺のスイーツもイチ押しですよって宣伝する町PR大使にもなってまーす！ヨロシクね！"
60	"所属：やぶ市観光協会

やっぷーは、国家戦略特区に指定された養父市のキャラクター！大自然をモチーフにした氷ノ山に住む森の妖精。のんびり屋でおっとりした性格だけど、スキー・スノボはプロ級の腕前☆みんな応援よろしくぷ〜♪"
61	"所属：本州四国連絡高速道路

本四連絡橋キャラクターとして「わたろう、せとうち」をキャッチフレーズに身長2m、体重120ｋの寸胴短足な見た目からは想像できない軽快なダンスで、せとうちの魅力を各地でPRしてます。応援お願いします。"
62	"所属：市川三郷町

こんにちは！市川三郷町ＰＲキャラクターの「市川三郷レンジャーです」！それぞれの顔は、町特産品の大塚にんじん・花火・印章をイメージしています！元気でおちゃめなメタボヒーロー！みんな投票よろしくね！"
63	"所属：石川県小松市

歌舞伎「勧進帳」に登場する弁慶がモデルのカブッキー。日々大好きな小松市の魅力を発信しています。カブッキーの好きな言葉でもある「難関突破」の精神で、今年も上位目指して頑張ります！！"
64	"所属：株式会社フエンテ

びわこのかたちの「びわこぐま」びわこにこぐまの顔を描いたら「びわこぐま」になっちゃった。滋賀県を勝手に応援してるけど頑張り過ぎるとたいへんだからボチボチやってまーす！！"
65	"所属：犬山市観光協会 

全国でも市の名前に「犬」とう漢字が入るのは愛知県犬山市だけ。そんな犬山をPRするために誕生したわん丸君は柴犬がモチーフ。特技は肉球ハイタッチ。ちょんまげはさわると良いことがあると巷で話題に。"
66	"所属：豊川市観光協会

ボクいなりん☆トレードマークは背中のお米だリン☆豊川市宣伝部長として、ボクの大好きな豊川市と豊川いなり寿司の魅力を全国のみんなに伝えるため、毎日頑張ってるだリン☆みんな応援よろしくだリン☆"
67	"所属：兵庫県

根っからの元気者で、チャレンジ精神旺盛。どんなところへも顔を出して人なつっこい笑顔を振りまきます。「兵庫の魅力や元気を全国に発信するために毎日頑張ってるタン！みんな、応援よろしく☆」ｂｙはばタン"
68	"所属：笠松町役場

笠松町の笠松みなと公園で誕生して以来、いつも一緒にお出かけする仲良しな双子の兄妹。頭にかぶった黄色い「笠」の上に、緑の「松」でふるさと「笠松」を表現しています。皆さんからの応援待ってます！"
69	"所属：紀北町観光協会

みえけんきほくちょうの”きーほくん”です。頭にまんぼうの”マンボーヤ”が住んでいる”にこいちキャラ”♪マンボーヤのピンクの口にさわるといいことがあるかも☆後ろのヒレにさわるとマンボーヤの鳴き声が！？"
70	"所属：吹田市

なにわの伝統野菜「吹田くわい」がモチーフです！「ビールと操車場のまち」「千里ニュータウンと万博のまち」として発展した吹田をどんどんＰＲします。２０１３Ｊリーグ、万博記念競技場でガンバ大阪を応援中！"
71	"所属：さいたま市

クリテリウムや国際マラソン、トリエンナーレに世界盆栽大会、全部開催のするのはさいたま市だけヾ(-^ヌ^-)ノ鉄道も人形も、さいたま市の魅力をぜーんぶ伝えていくよッ(≧ヌ≦)！！"
72	"所属：横瀬町

秩父出身の落語家林家たい平師匠がデザインし、秩父地方にある武甲山と祭りの象徴である太鼓がモチーフになっています。元気を出すときには、バチを持って「ドコドン！！」パワー全開にします。"
73	"所属：猪名川町

清流猪名川を取り戻そう町民運動と猪名川町をPRしているいなぼうは、地元の猪名川で遊ぶことが大好きな男の子です。 友だちの「魚くん」と一緒に、いつまでも美しい猪名川を守りたいと願っています。"
74	"所属：大山町 

パンダがパンダを着ており「♪むいても、むいても、むきぱんだ～♪」をキャッチフレーズに大山町（だいせんちょう）の観光振興のため東奔西走してます。好物は大山町特産のブロッコリー、茎までおいしいよ。"
75	"所属：熊谷市市民部市民活動推進課　

ニャオざねだにゃ♪ニャオざねの名前は、ねこの鳴き声に熊谷市の武将「熊谷次郎直実」公をプラスしているんだにゃ☆猫ブームに乗ってもっと名をあげたいにゃ♪ぜひぜひ投票よろしくにゃ☆"
76	"所属：富山県射水市

僕は水の精の王様「ムズムズ」だよ！名前の「ムズムズ」は何か新しいこと、楽しいことに挑戦していく射水市（いみずし）の情熱や取り組みのユニークさから名付けられたんだ。目標は20位以内☆みんな応援してね♪"
77	"所属：特定非営利活動法人　枚方文化観光協会

淀川三十石船の乗客を相手に酒や餅などを売る「くらわんか舟」の船頭兼売り子。枚方宿の鍵屋でお手伝いをしながら、江戸へ旅立ったご主人の帰りを待っている。恥ずかしがりやでくいしんぼうのわんこ。"
78	"所属：胎内検定実行委員会

胎内市観光大使やらにゃんです。昨年の選挙公約「グランプリ取ったらやらにゃん焼き無料配布」が達成できずに(↓.や.↓)にゃん。今年もグランプリ取ってやらにゃん焼き無料にするにゃん（↑.や.↑）"
79	"所属：会津美里町

ボク、「あいづじげん」。会津美里町出身といわれる江戸時代に活躍した慈眼大師（天海大僧正）にあやかって名づけられタヨ。今年で会津美里町は合併10周年！これからも町のＰＲのためにガンバルから、応援ヨロシクネ(^_^)"
80	"所属：くまがや市商工会

縁結びの御利益で有名な国宝・妻沼聖天山のどこかに住んでいて、頭は聖天様の好物・二叉大根、お顔もほっぺも錫杖もハート形！ ぼくに錫杖を振ってもらうと、幸せなご縁が結ばれるかも？"
81	"所属：横手やきそば研究会

横手やきそばキャラクター【やきっピ】です(^０^)/ 秋田県横手市の「横手やきそば研究会」会員でしゅ♪ あたちのミッションは、横手やきそばのPRと横手じゅうに笑顔の花を咲かせること☆"
82	"所属：宮城県白石市

白石城主片倉小十郎公がモデルです片倉公が忠義の武将であったことと、白石市を「おもしろく」盛り上げていきたいとの願いから、「忠義に篤く尾も白い」→「忠犬」のキャラクターが誕生しました。"
83	"所属：福島県西会津町

霊峰・飯豊山の使者で、町の花「おとめゆり」の妖精（女の子）です。頭の触覚で楽しい事を探し、背中の葉っぱでできた羽根で飛び回ります。足には特産品である「桐下駄」を履いています。西会津の人と自然が大好き。"
84	"所属：一般社団法人米沢観光コンベンション協会

かねたんＳはかねたん、おせんちゃん、かげっちさま、けーじろーの楽しい４人組。山形県米沢市を知ってもらうためＰＲに励んでいる。来年で１０周年を迎え益々盛り上がるかねたんＳの応援をよろしくお願いします。"
85	所属：出雲記念（株）
86	"所属：戸越銀座商店街連合組合

戸越銀座商店街のアイドル。よくキツネに間違われるが、実はネコ。職業、家事手伝い。『GCB47』のキーボード担当としてバンド活動も行っている。アタマの星にさわると、ハッピーになれると言われている。"
87	"所属：津市観光協会

津のお殿様、藤堂高虎公の「まるもち3つ」ののぼり旗から生まれたちょっとメタボな精霊さん。くんってつくけど性別はないよ。お気に入りのうさ耳兜をかぶった津ぅキャラのリーダー的存在。"
88	"所属：(株)ムジコ・クリエイト モータースクール

ぼくは青森県に住んでいる『ニャモタン』だニャ！！ヒトとクルマが安心して暮らせるように交通安全のことをみんなと一緒に勉強中なんだニャ♪左手の小指の肉球がハートになってて、さわると幸せくるかもなのニャ♪"
89	"所属：茨城県

水戸黄門をモデルにした茨城県マスコット。いつでもどこでも何にでも一所懸命に全力ハッスルする元気なキャラ。大好きな茨城のイメージアップのため，いろんなことに挑戦中！みんなも一緒に元気いっぱいハッスル～♪"
90	"所属：埼玉県美里町

あの「ふりこまないで体操」のミムリンです！植栽面積日本一の美里町産のブルーベリーを食べすぎたため、頭と体がブルーベリーになってしまいました。名前は漢字で「美夢里」と書き、みんなの夢を応援しています。"
91	所属：真宗大谷派(東本願寺)大阪教区
92	"所属：池田市

大阪府池田市イメージキャラクター「ふくまるくん」だよ～。奥さんの「ふくまるちゃん」と４つ子ちゃんの分まで頑張るよ～！みんなに「福」をプレゼント～♪"
93	"所属：埼玉県本庄市

名前の由来は「埴輪（はにわ）」＋「本庄（ほんじょう）」から。モチーフは、市内から出土した１４００年前のとても珍しい「笑う埴輪」です！笑顔を届けに現代へタイムスリップ♪見かけたら声をかけてね！"
94	"所属：上士幌町

上士幌町の空と大地の妖精で、熱気球の操縦が得意な女の子。牛肉やアイスクリームなど、ふるさと納税で人気の地元特産品が大好き！！しかも、町内にある“ぬかびら源泉郷”の温泉の効能でお肌もツヤツヤ☆こんなグルメでキュートな「ほろんちゃん」をみんな応援してね♪(≧∇≦)ﾉ"
95	"所属：荒尾市

僕はマジャク界の王子マジャッキー！生き物豊かなラムサール条約登録湿地「荒尾干潟」に住んでいるよ。世界遺産に登録された「万田坑」や甘くておいしい「荒尾ジャンボ梨」のある荒尾が大好き。みんな遊びに来てね！"
96	"所属：熊本県

ボクは、「ころう君」熊本の鞠智城（きくちじょう）の魅力をPRするために全国各地で活動中！たくさんのお友達に笑顔と元気をお届けしたいコロ～！よろしコロね～☆"
97	"所属：毛呂山町

今年度で6回目の参加だよ！！去年は順位下がっちゃったけど今年こそ100位以内目指して頑張るぞーー！！毛呂山町と僕の名前を全国の皆さんに知ってもらえるようＰＲ頑張ります！！宜しくね！"
98	所属：羽生市キャラクター推進室
99	"所属：福岡県大野城市

ぼくは大野城市のPRキャラクター大野ジョーだじょー！赤いスカーフと「石垣リーゼント」がトレードマークの、ダンスが得意な１２歳だじょー♪応援よろしくだじょー！！"
100	所属：かつらぎ町
101	所属：
102	"所属：東松山市

埼玉県東松山市のキャラクターです。頭には市の花「ぼたん」、市の木「松」をイメージした緑色の頭巾、体は名物「やきとり」につけるみそだれの壺、ウォーキングのまちなので２人は歩くのが大好き！仲良し双子！"
103	"所属：新潟応援団☆笹だんごの会

新潟名物の笹だんごが神様の魔法で怪獣になった、新潟県の非公式キャラクター。自慢は新潟の潟の字がちゃんと書けること。好きなものはラーメン、びいる、合コン☆得意技はでんぐり返しと逆立ち。応援よろしくねー☆"
104	"所属：滋賀県立彦根東高等学校

滋賀県立彦根東高等学校のぎんにゃんです。生徒が作った公式キャラクターで、手作りのゆるさで、みんなを癒してます。学校キャラの先駆けとして、これからも高校キャラらしくがんばります！"
105	"所属：杉並区

スギナミザウルス島に住んでいた妖精だよ。島を船で旅立ち、憧れていた杉並区にやってきたんだ。杉並区をてくてくお散歩してブログを発信したり、みんなと区を優しくつなぐために毎日頑張っているよ！"
106	所属：ＬＬＣひこらぼ
107	所属：妙高市　観光商工課
108	所属：食べよう!!ハンバーグの会
109	所属：ガッタープロジェクト
110	"所属：水上温泉旅館協同組合

群馬県・水上温泉のおいでちゃんです。みなかみ町でＳＬのお迎えをする傍ら、みなかみ町のＰＲ活動をしています。豊富な温泉や谷川岳をはじめとする雄大な自然の宝庫、みなかみに、おいでやおいで～♪"
111	"所属：福島県

福島県の復興シンボルキャラクター「キビタン」は、みんなとふくしまを繋ぐ架け橋として活躍中。頭のアンテナでふくしまの“魅力”と“今”を発信しています♪「キビタン」をなでると幸せになると言われている！？"
