EXPID,REFID,RYEAR,RTYPE,RJRNL,RAUTHOR,RTITLE,RPUBLISHER,RPUBDATE,RLANGUAGE,RCITATION,RYAK94,RNOTES
PUMO84301,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:268 (1985),,
PUMO84401,01,1984,2,AAJ,"Jorgenson, Steven G.",,,1985,,59:268 (1985),,
LOBE84101,01,1984,2,AAJ,"Nielson, Lawrence",,,1985,,59:269 (1985),,
LOBW84301,01,1984,2,AAJ,"Ohnishi, Tamotsu",,,1985,,59:269 (1985),,
CHOL84301,01,1984,2,AAJ,"Bibler, Todd",,,1985,,59:270 (1985),,
TAWO84101,01,1984,2,AAJ,"Bridwell, James",,,1985,,59:270 (1985),,
AMAD84102,01,1984,2,AAJ,"Eisenhard, James",,,1985,,59:270-273 (1985),,
AMAD84101,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:273 (1985),,
AMAD84103,01,1984,2,AAJ,,,,1985,,59:273 (1985),,
AMAD84401,01,1984,2,AAJ,"Hawley, Elizabeth",,,1985,,59:273 (1985),,
AMAD84402,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:273 (1985),,
KTEG84101,01,1984,2,AAJ,"Magdalena, Maria Carmen",,,1985,,59:274 (1985),,
THAM84301,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:275 (1985),,
CHOY84102,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:274 (1985),,
CHOY84301,01,1984,2,AAJ,"Pons, Jordi",,,1985,,59:275 (1985),,
CHOY84302,01,1984,2,AAJ,,,,1985,,59:275 (1985),,
CHOY84401,01,1984,2,AAJ,"Nyka, Jozef",,,1985,,59:275 (1985),,
CHOB84301,01,1984,2,AAJ,"Badham, Michael K.",,,1985,,59:277 (1985),,
GAUR84301,01,1984,2,AAJ,,,,1985,,59:277 (1985),,
KHAT84401,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:277 (1985),,
LANG84101,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:277-278 (1985),,
GAN384302,01,1984,2,AAJ,"Kekus, Nikola",,,1985,,59:278 (1985),,
GAN384301,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:278 (1985),,
MANA84103,01,1984,2,AAJ,,,,1985,,59:279 (1985),,
MANA84102,01,1984,2,AAJ,"Loretan, Erhard",,,1985,,59:279 (1985),,
MANA84101,01,1984,2,AAJ,,,,1985,,59:279 (1985),,
MANA84302,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:280 (1985),,
NEMJ84401,01,1984,2,AAJ,"Hawley, Elizabeth",,,1985,,59:280 (1985),,
KGUR84101,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:280-281 (1985),,
KGUR84102,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:281 (1985),,
KGUR84301,01,1984,2,AAJ,Bae Seung-Youl,,,1985,,59:281 (1985),,
KGUR84401,01,1984,2,AAJ,"Hawley, Elizabeth",,,1985,,59:281 (1985),,
ANN284101,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:281-282 (1985),,
ANN284101,02,1984,3,MM,,,,1984,,99:9 (Sep 1984),,
ANN284301,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:282 (1985),,
ANN284301,02,1984,3,MM,,,,1985,,102:14 (Mar 1985),,
ANN484302,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:282 (1985),,
ANN484302,02,1984,3,MM,,,,1985,,102:14 (Mar 1985),,
ANN484301,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:282 (1985),,
ANN384301,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:282 (1985),,
GANG84401,01,1984,2,AAJ,"Hawley, Elizabeth",,,1985,,59:283 (1985),,
GLAC84301,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:283 (1985),,
TARS84301,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:283 (1985),,
ANN184101,01,1984,2,AAJ,"Sigayret, Henri",,,1985,,59:283-285 (1985),,
ANNM84301,01,1984,2,AAJ,"Lucas, Enric",,,1985,,59:285 (1985),,
ANN184302,01,1984,2,AAJ,"Loretan, Erhard",,,1985,,59:285-288 (1985),,
ANN184301,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:288 (1985),,
ANN184402,01,1984,2,AAJ,"Muller, Bernard",,,1985,,59:288-289 (1985),,
ANN184401,01,1984,2,AAJ,"Hawley, Elizabeth",,,1985,,59:289 (1985),,
FANG84301,01,1984,2,AAJ,"Krause, Wesley",,,1985,,59:289 (1985),,
ANNS84301,01,1984,2,AAJ,"Udall, Mark",,,1985,,59:290 (1985),,
ANNS84401,01,1984,2,AAJ,"Hawley, Elizabeth",,,1985,,59:290 (1985),,
ANN184303,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:291 (1985),,
DHA184101,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:291 (1985),,
DHA184302,01,1984,2,AAJ,"Beghin, Pierre",,,1985,,59:291-293 (1985),,
TILI84301,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:291 (1985),,
TILI84401,01,1984,2,AAJ,"Hawley, Elizabeth",,,1985,,59:291 (1985),,
DHA184301,01,1984,2,AAJ,"Novak, Jiri",,,1985,,59:293 (1985),,
DHA184402,01,1984,2,AAJ,"Hawley, Elizabeth",,,1985,,59:293 (1985),,
DHA184401,01,1984,2,AAJ,"Hawley, Elizabeth",,,1985,,59:293 (1985),,
DHA284301,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:294 (1985),,
CHRW84101,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:294 (1985),,
PUTH84101,01,1984,2,AAJ,Cho Chung-Sool,,,1985,,59:294 (1985),,
PUTH84301,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:294 (1985),,
CHRW84102,01,1984,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1985,,59:294 (1985),,
EVER84101,01,1984,2,AAJ,"Goodman, Donald J.",,,1985,,59:336-337 (1985),,
EVER84105,01,1984,2,AAJ,"Bonington, Chris",,,1985,,59:337-338 (1985),,
EVER84104,01,1984,2,AAJ,"Bonington, Chris",,,1985,,59:337-338 (1985),,
EVER84301,01,1984,2,AAJ,"Bartram, Geoffrey",,,1985,,59:338 (1985),,
LHOT84301,01,1984,2,AAJ,"Salisbury, Richard",,,1985,,59:261-262 (1985),,
MAKA84103,02,1984,2,AJ,"Scott, Douglas",Multi Peak - Alpine Style,,1985,,90:88-96 (1985),,
CHOY84101,01,1984,2,AAJ,"Komarkova, Vera",Cho Oyu,,1985,,59:89-93 (1985),,
GAUR84101,01,1984,2,AAJ,"Culbreth, Wyman",Gaurishankar's West Face,,1985,,59:81-83 (1985),,
HIME84301,01,1984,2,AAJ,"Yager, Mike",Himalchuli,,1985,,59:84-88 (1985),,
EVER84303,01,1984,2,AJ,"Bonington, Chris",,,1985,,90:214-215 (1985),,
EVER84104,02,1984,2,AJ,"Villar, Richard",Everest North Face - A Doctor's View,,1985,,90:110-112 (1985),,
GAN384302,02,1984,2,AJ,"Kekus, Nick",Annual Leave - Ganesh II South Face,,1985,,90:71-73 (1985),,
EVER84105,02,1984,2,AJ,"Bonington, Chris",,,1985,,90:214 (1985),,
EVER84104,03,1984,2,AJ,"Bonington, Chris",,,1985,,90:214 (1985),,
EVER84101,02,1984,2,AJ,"Bonington, Chris",,,1985,,90:214 (1985),,
EVER84301,02,1984,2,AJ,"Bonington, Chris",,,1985,,90:214-215 (1985),,
KANG85101,01,1985,2,AAJ,"Duenwald, Jeff",,,1986,,60:214 (1986),,
KANC85301,01,1985,2,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,1986,,60:215 (1986),,
YALU85101,01,1985,2,AAJ,"Skarja, Tone",,,1986,,60:213-214 (1986),,
