PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
NGOJ,Ngojumba Kang I,"Ngozumba Kang, Ngozumba Ri, Tenzing Peak",Khumbu Himal (NE of Cho Oyu on Tibetan border),7916,25971,12,2,TRUE,FALSE,FALSE,,Opened in 2014 as Tenzing Peak,4,2,,1982,3,NGOJ82302,Nov 02,"S Korea, Nepal","Kim Young-Han, Ang Tshering Sherpa, Dorje Sherpa",,,
NILC,Nilgiri Central,,Annapurna-Nilgiri Himal (NW of Annapurna I),6940,22769,1,5,TRUE,FALSE,FALSE,,,1,2,,1979,1,NILC79101,Apr 30,Japan,"Kohichi Sakata, Yasuo Tsuda",,,
NILN,Nilgiri North,,Annapurna-Nilgiri Himal (NW of Annapurna I),7061,23166,1,5,TRUE,FALSE,FALSE,,,1,2,,1962,3,NILN62301,Oct 19,"Netherlands, France, Nepal","Lionel Terray, H. G. Van Lookern Campagne, P. Van Lookern Campagne, P. F. J. Van Lookern Campagne, Wangdi Sherpa",,,
NILS,Nilgiri South,,Annapurna-Nilgiri Himal (NW of Annapurna I),6839,22438,1,5,TRUE,FALSE,FALSE,,,1,2,,1978,3,NILS78301,Oct 10,Japan,"Kazuo Mitsui, Taichi Fujimatsu, Yoshiaki Kato, Nobuhito Morota, Seiji Tanaka, Hideki Yoshida",,,
NUMB,Numbur,,Rolwaling Himal (SW of Namche Bazar),6958,22828,19,2,TRUE,FALSE,FALSE,,,1,2,,1963,1,NUMB63101,May 29,"Japan, Nepal","Hiroshi Matsuo, Mingma Tsering Sherpa",,,
NUPT,Nuptse,,Khumbu Himal (SW of Everest),7864,25801,12,2,TRUE,FALSE,FALSE,,,1,2,,1961,1,NUPT61101,May 16,"UK, Nepal","Dennis Davis, Tashi Sherpa",1st ascent of W Smt (NUPT-884-01),,
OHMI,Ohmi Kangri,,Ohmi Kangri Himal (NW of Kangchenjunga on Tibetan border),6839,22438,6,1,TRUE,FALSE,FALSE,,,4,2,,1985,1,OHMI85101,Apr 14,Switzerland,"Andre Rieder, Alain Vaucher",,,
OMBK,Ombak Himal,,Ohmi Kangri Himal (NE of Ombak La in Tibet),6300,20669,6,1,FALSE,TRUE,FALSE,,,2,1,,,0,,,,Unclimbed?,,,
PALD,Paldor,Bharange,Ganesh Himal (SE of  Ganesh V),5903,19367,5,4,FALSE,FALSE,TRUE,1978,,1,2,,1949,2,PALD49201,,"UK, Nepal","H. W. Tilman, Peter Lloyd, Tenzing Sherpa, Da Namgyal Sherpa","1st ascent claimed in 1949, but actual 1st ascent may have been in 1974 by John Cleare and Ian Howell",,
PANG,Pangbuk Ri,,Rolwaling Himal (N of Menlung La on Tibetan border),6625,21736,19,2,TRUE,FALSE,FALSE,,Opened in 2002,4,2,,2011,3,PANG11301,Nov 11,USA,"David Gottlieb, Chad Kellogg","The Pangbuk that Bourdillon and Colledge climbed on May 29, 1952 was south of Menlung La (thus not Pangbuk Ri)",,
