Variable,CMED,DMAD,EALB,ECOL,ECOR,EFLA,EFUL,EMAC,EMON,ERUB,ERUF,ESAN,EUL,GMOH,HGG,LCAT,LTAR,MMUR,MZAZ,NCOU,NPYG,OGG,PCOQ,PPOT,VAR,VRUB,VVV
L_Max_F_Age_y,     25.18,     35.20,     34.59,     32.61,     27.42,     26.92,     36.00,     34.35,     32.15,     33.84,     32.67,     32.94,     30.55,     14.45,     23.77,     30.83,     18.64,     15.94,     19.97,     24.04,     19.89,     18.91,     25.85,     32.35,     34.93,     37.54,     35.76
L_Median_All_Longevity_gt30d_y,     15.07,     25.10,     17.90,     21.12,     18.71,     19.57,     18.96,     13.77,     24.47,     16.77,     20.66,     20.09,     17.14,      6.92,     10.45,     17.58,     13.38,      8.83,     13.00,     11.26,     11.12,     12.73,      9.97,     15.09,      8.33,     21.36,     15.44
L_Median_M_Longevity_gt30d_y,     13.41,     20.75,     15.31,     21.75,     18.70,     19.57,     17.76,     13.56,     27.03,     14.78,     20.65,     18.57,     16.53,      6.72,     10.12,     18.00,     13.94,      8.81,     12.70,     12.00,     10.28,     12.64,      9.58,     14.49,      8.98,     21.04,     16.08
L_Median_F_Longevity_gt30d_y,     16.84,     27.47,     20.55,     20.17,     17.40,     18.38,     20.66,     14.70,     21.35,     20.56,     20.66,     20.38,     16.85,      7.04,     11.24,     16.87,     12.35,      8.62,     12.46,     11.01,     12.47,     12.35,     10.14,     13.05,      8.32,     20.97,     14.98
S_N_All_Survival_gt30d,       189,        44,        34,        60,        62,        72,        57,        87,       111,        22,       131,        21,       220,       221,        47,       277,        44,       253,        77,        78,        40,       262,       161,        22,        41,       162,       153
S_N_M_Survival_gt30d,       108,        21,        19,        33,        37,        39,        34,        47,        55,        13,        60,        10,       114,       110,        20,       134,        23,       132,        38,        37,        20,       134,        86,        10,        16,        77,        87
S_N_F_Survival_gt30d,        81,        23,        15,        27,        25,        33,        23,        39,        56,         9,        69,        11,       105,       111,        27,       143,        21,       121,        39,        41,        20,       128,        75,        12,        25,        85,        64
L_Pct_All_InfMort_lt30d,      0.29,      0.10,      0.21,      0.25,      0.33,      0.23,      0.26,      0.32,      0.24,      0.36,      0.27,      0.06,      0.21,      0.39,      0.33,      0.20,      0.34,      0.16,      0.35,      0.14,      0.39,      0.33,      0.24,      0.69,      0.23,      0.16,      0.26
L_Pct_M_InfMort_lt30d,      0.16,      0.08,      0.08,      0.21,      0.30,      0.15,      0.16,      0.22,      0.19,      0.38,      0.27,      0.11,      0.17,      0.32,      0.35,      0.16,      0.15,      0.12,      0.19,      0.11,      0.29,      0.28,      0.27,      0.50,      0.20,      0.18,      0.19
L_Pct_F_InfMort_lt30d,      0.23,      0.12,      0.23,      0.23,      0.29,      0.31,      0.28,      0.33,      0.28,      0.33,      0.23,       .,      0.21,      0.23,      0.31,      0.13,      0.27,      0.08,      0.30,      0.13,      0.38,      0.16,      0.16,      0.50,      0.23,      0.07,      0.30
L_Pct_ND_InfMort_lt30d,      1.00,       .,      1.00,      1.00,      1.00,       .,      1.00,      1.00,      1.00,       .,      1.00,       .,      1.00,      1.00,       .,      1.00,      1.00,      1.00,      1.00,      1.00,      1.00,      1.00,      1.00,      1.00,      1.00,      1.00,      0.75
S_N_All_InfMort_lt30d,        68,         3,         6,        15,        22,        16,        12,        32,        20,         8,        38,         1,        51,        95,        15,        60,        17,        38,        33,         6,        13,        77,        30,        11,        12,        22,        42
S_N_M_InfMort_lt30d,        18,         1,         1,         7,        12,         5,         4,        11,         8,         5,        17,         1,        21,        38,         7,        22,         3,        15,         7,         2,         5,        33,        17,         4,         4,        12,        16
S_N_F_InfMort_lt30d,        21,         2,         3,         6,         7,        11,         5,        14,        11,         3,        17,         .,        26,        21,         8,        20,         6,         8,        13,         3,         5,        14,         9,         1,         7,         5,        20
S_N_ND_InfMort_lt30d,        29,         .,         2,         2,         3,         .,         3,         7,         1,         .,         4,         .,         4,        36,         .,        18,         8,        15,        13,         1,         3,        30,         4,         6,         1,         5,         6
O_NocturnalOrDiurnal,         N,         N,         D,         D,         D,         D,         D,         D,         D,         D,         D,         D,         D,         N,         D,         D,         N,         N,         N,         N,         N,         N,         D,         N,         D,         D,         D
O_N_All_Biosample_Individuals,        55,        39,         5,        42,        47,        67,         7,        26,        61,        13,        32,        11,        45,        53,        35,       141,        20,        81,        29,        25,        27,        29,       122,         8,         1,        64,        47
