casualty_group,killed,injured,total_casualties
395,4,36,40
396,4,7,11
397,0,0,0
398,0,0,0
399,0,0,0
400,0,0,0
401,12,26,38
402,9,15,24
403,1,4,5
404,0,0,0
405,0,0,0
406,2,6,8
407,0,0,0
408,0,1,1
409,0,0,0
410,0,0,0
411,0,0,0
412,0,0,0
413,0,0,0
414,0,0,0
415,6,NA,6
416,0,0,0
417,7,9,16
418,0,0,0
419,4,2,6
420,0,0,0
421,0,0,0
422,0,0,0
423,0,0,0
424,0,0,0
425,0,0,0
426,17,50,67
427,0,0,0
428,0,0,0
429,0,0,0
430,0,0,0
431,0,0,0
432,0,0,0
433,0,0,0
434,0,2,2
435,0,0,0
436,0,0,0
437,0,0,0
438,0,0,0
439,26,79,105
440,0,0,0
441,0,0,0
442,0,0,0
443,0,0,0
444,1,3,4
445,1,3,4
446,1,3,4
447,2,15,17
448,0,0,0
449,0,0,0
450,0,0,0
451,0,0,0
452,0,0,0
453,0,0,0
454,0,0,0
455,0,0,0
456,0,0,0
457,0,0,0
458,0,0,0
459,0,0,0
460,0,0,0
461,0,0,0
462,0,1,1
463,0,0,0
464,0,0,0
465,0,0,0
466,0,0,0
467,0,0,0
468,0,6,6
469,0,1,1
470,0,0,0
471,0,0,0
472,0,0,0
473,0,0,0
474,0,0,0
475,2,2,4
476,2,4,6
477,0,0,0
478,0,0,0
479,0,8,8
480,0,0,0
481,0,22,22
482,0,3,3
483,0,0,0
484,0,0,0
485,0,0,0
486,0,0,0
487,0,0,0
488,0,0,0
489,1,5,6
490,0,0,0
491,1,5,6
492,0,0,0
493,1,12,13
494,0,0,0
495,0,0,0
496,0,0,0
497,0,0,0
498,0,0,0
499,0,0,0
500,4,25,29
501,0,0,0
502,0,0,0
503,0,0,0
504,0,0,0
505,1,3,4
506,0,0,0
507,0,6,6
508,0,4,4
509,0,0,0
510,3,4,7
511,0,0,0
512,0,1,1
513,0,0,0
514,0,0,0
515,0,0,0
516,0,0,0
517,3,15,18
518,0,0,0
519,0,0,0
520,0,0,0
521,0,0,0
522,0,0,0
523,0,2,2
524,0,0,0
525,0,3,3
526,4,42,46
527,0,0,0
528,0,0,0
529,0,0,0
530,0,0,0
531,0,0,0
532,0,0,0
533,0,0,0
534,0,0,0
535,0,0,0
536,0,0,0
537,0,26,26
538,0,0,0
539,0,0,0
540,0,0,0
541,0,0,0
542,0,0,0
543,0,3,3
544,0,0,0
545,0,0,0
546,0,0,0
547,0,0,0
